Ticker,Name,Business,Market,IPO,MarketCap,Sector
CSGS,CSG Systems International,通信産業向けにビジネス・サポート・ソリューションを提供する企業。,NASDAQ,1996,1426.46,Technology
CSII,Cardiovascular Systems,動脈から硬化プラークとカルシウムを取り除く医療機器を開発・製造する医療機器会社。,NASDAQ,2006,1532.12,Healthcare
CSIQ,Canadian Solar Inc,カナダの太陽光発電会社,NASDAQ,2006,2324.57,Technology
CSL,Carlisle Companies Incorporated,建築資材、輸送素材などの製造・販売を手掛ける多角的企業。,NYSE,1973,9880.97,Industrials
CSLT,Castlight Health Inc B,企業の医療費管理向けにクラウドソフトウェアを提供している企業,NYSE,2014,319,Healthcare
CSOD,Cornerstone OnDemand,オン・デマンド従業員開発コンピューター・ソフトウエアの開発、販売,NASDAQ,2011,3210.68,Technology
CSPI,CSP Inc,IT統合ソリューションやクラスタコンピュータシステムの開発、マーケティングを行う米国の情報技術企業,NASDAQ,1982,47.45,Technology
CSPR,Casper Sleep Inc,寝具の製造・販売をしている会社。,NYSE,2020,401.56,Consumer Cyclical
CSSE,Chicken Soup For The Soul Entertainment Inc,テレビ番組やオンラインビデオ番組の制作会社,NASDAQ,2017,489.8,Communication Services
CSTL,Castle Biosciences Inc,ゲノム情報を利用した皮膚癌向けの診療方法を提供する米国の会社,NASDAQ,2019,1586.07,Healthcare
CSU,Capital Senior Living Corp,高齢者向け住宅コミュニティを運営している企業,NYSE,1997,97.12,Healthcare
CSV,Carriage Services Inc,米国の葬儀会社,NYSE,1996,692.33,Consumer Cyclical
CSWI,CSW Industrials Inc,工業化学品を製造、販売している会社,NASDAQ,2015,1865.56,Industrials
CSX,CSX,国際的運送会社,NASDAQ,1980,75452.19,Industrials
CTAS,Cintas,業務用制服会社,NASDAQ,1983,36999.67,Industrials
CTB,Cooper Tire & Rubber Company,乗用車と軽トラック用交換タイヤの製造・販売に注力している交換タイヤメーカー。,NYSE,1980,3040.02,Consumer Cyclical
CTBI,Community Trust Bancorp Inc,銀行持株会社,NASDAQ,1987,788.69,Financial Services
CTG,Computer Task Group Inc,企業コンサルティング、電子事業、IT管理ソリューションを提供コンサルタント会社。,NASDAQ,1980,151.63,Technology
CTIC,CTI BioPharma,副作用の少ない癌治療薬を開発および商品化を手掛けるバイオ医薬品会社,NASDAQ,1997,215.48,Healthcare
CTLT,Catalent,薬品、生物製剤、大衆薬の配送技術および開発ソリューションを提供する会社,NYSE,2014,17231.8,Healthcare
CTMX,CytomX Therapeutics Inc,腫瘍治療に注力しているバイオ医薬品会社。,NASDAQ,2015,440.13,Healthcare
CTRN,Citi Trends Inc,米国のディスカウント衣料品店,NASDAQ,2005,781.95,Consumer Cyclical
CTS,CTS Corp,電子部品とセンサーのメーカー及び電子装置製造サービスの提供をしている会社,NYSE,1980,1248.65,Technology
CTSH,Cognizant Technology Solutions A,カスタムITコンサルタント・テクノロジーサービス会社,NASDAQ,1998,37709.96,Technology
CTSO,Cytosorbents Corp,免疫療法を専門とする企業,NASDAQ,2006,353.92,Healthcare
CTVA,Corteva Inc,大豆などの農産物の種などを提供している会社。,NYSE,2019,33877.16,Basic Materials
CTXR,Citius Pharmaceuticals Inc,米国の特殊医薬品メーカー,NASDAQ,2014,315.65,Healthcare
CTXS,Citrix Systems,ソフトウエアメーカー,NASDAQ,1995,14793.26,Technology
CUBI,Customers Bancorp Inc,ペンシルベニア州全域で事業を展開する銀行。,NYSE,2012,1324.21,Financial Services
CUE,Cue Biopharma Inc,米国のバイオ医薬品企業,NASDAQ,2018,417.16,Healthcare
CULP,Culp Inc,主に布張り家具の製造に使う張り生地の製造･調達･市販に従事している会社,NYSE,1983,199.15,Consumer Cyclical
CURO,Curo Group Holdings Corp,米国、カナダ、英国において消費者金融サービスを提供している会社。,NYSE,2017,737.31,Financial Services
CUTR,Cutera Inc,医療機器会社,NASDAQ,2004,815.57,Healthcare
CVA,Covanta Holding,廃棄物のエネルギー化と発電プロジェクトを所有・運営,NYSE,1990,1981.3,Industrials
CVAC,CureVac NV,バイオテクノロジー会社,NASDAQ,2020,21622,Healthcare
